Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
AJACCIO;41.92;8.73;16/08/2026;0;SOLEIL;33.4;24
BASTIA;42.69;9.45;15/08/2026;0;SOLEIL;34.7;27.4
BASTIA;42.69;9.45;16/08/2026;10;ORAGEUX;34.1;26.7
ALENÇON;48.43;0.09;15/08/2026;5;SOLEIL VOILÉ;33.5;18.4
ALENÇON;48.43;0.09;16/08/2026;0;SOLEIL;29.6;18.1
BOURG-ST-MAURICE;45.62;6.77;15/08/2026;0;SOLEIL;32.4;15.5
BOURG-ST-MAURICE;45.62;6.77;16/08/2026;5;SOLEIL VOILÉ;29.2;15.9
CHALON/SAÔNE;46.78;4.85;15/08/2026;0;SOLEIL;37.2;22.6
CHALON/SAÔNE;46.78;4.85;16/08/2026;10;ORAGEUX;35.9;23.1
AGEN;44.2;0.61;15/08/2026;5;SOLEIL VOILÉ;34.6;21.6
AGEN;44.2;0.61;16/08/2026;5;SOLEIL VOILÉ;32.6;20.6
